text,label
"We won't be back! Let me start off by saying I have never written a review before. As a business owner myself, I feel that some places get an unfair ""rap"" with sites like this, but I felt compelled for the first time to write one after what we (my wife and I) found out. As a life long ""Stavener"", I have been going to The RIb House for years. Mostly take out&the bar, occasionally being waited on at a table.This place is a staple (or eye sore) in EH. For the most part the food has been consistent. You pretty much know what you were going to get when you go there and you would always walk out stuffed and/or drunk.  Same staff/family for as long as I can remember, many of them which I know from growing up here. Seemed  the waitstaff had a lot of hostility towards each other, based upon the gossip that could be over heard though. Someone was always complaining. Not so much with the bar staff. They seemed to do their own thing. The bartenders have all been great through the MANY years. After I got married, I didn't go in as much. I'd stop in on my way home for take out, which always seemed expensive to me. It wasn't till recently that I realized  they were charging an extra $0.30 or $0.40 (don't know the exact amount) for EVERY item ordered. I am far from cheap, but I have never seen a ""take out charge"" anywhere, or maybe I just haven't noticed it. Either way, not that big of a deal I guess, but it is something people should be aware of if you are ordering take out/to go. My wife, (not from EH) wanted to experience the RH about two or so years ago. She thought it was some roadside biker bar. It was happy because she usually has me take her to the more ""fine dining"" establishments. We went in on a Saturday and there was an attractive blonde girl behind the bar. I was nervous because my wife never likes other women, never mind someone that is attractive. To my shock my wife loved the bartender. She ended up being very humble and funny and man could she manage a difficult and demanding crowd. We loved sitting there watching her make drink after drink wondering how she kept track. Anyway,  It ended up being the place my wife wanted to go when we did get a night out, over to see ""her Chris"" (who ended up coming up with a new drink for her every time we went in, which I enjoyed too because as I said before, the food was consistent (average)). Also, I have to say, her friends&customers that came in to see her were so amusing. We had so many belly laughs there on many occasions. Fast  forward to a few months ago... The RH must have been getting desperate or fancy because they got a ""new manager"". Instantly, you could see she was rubbing everyone the wrong way. She was trying way too hard with the customers &snobbish to the bartender. My wife made a comment to me that day, something to the effect that ""She has it out for her...watch"". I just figured it was some woman thing and thought nothing of it even though we did witness the attitude. It wasn't till I stopped in again one night just for a quick beer on my way home that I witnessed it for myself. That manager, who I ended up recognizing (and knowing from EH) after seeing her for a second time, was being so ridiculous and unprofessional, not even conscious that I was a customer in the other room. I ended up leaving, before I ended up getting involved myself, which now I regret not doing. My wife and I stopped in the other day to see ""our girl"". We were told  that manager ""got rid"" of her. WHAT?? Are you insane!  SHAME ON THE OWNERS OF THE RH!! (and yes, I know them well too You let the most personable, honest and hard working employee of yours go? The one that actually brought in customers? That brought me back in after not frequenting that place for years?She was always saying ""I love where I work"". Even if a customer didn't tip well she still smiled&said thank you. That place was PACKED on Halloween,a Mon. night, because she threw a Halloween party. That brought you business!! Do you really think anyone would have been there on a Halloween Monday?? This is just one example, because I could go on and on about how disgusting your lack of judgement was/is. You get in this ""manager"" who has quite the reputation (not favorable at all),whose credibility is shot&then poof, the employee that brought you business is gone?My wife was SO right! Trust me, I would hire this girl in a heart beat if my business was something in this industry. We just can't believe it. I can tell you right now, you rubbed everyone the wrong way with this move RH. My wife&I will NEVER be back nor will our friends or family. This is supposed to be a family run establishment, a place you feel comfortable. For the owners to allow this treatment of their employees (we heard some kitchen staff too) is disgusting.And BTW what is with all your Italian specials? You lost all direction!If i wanted Italian I'd go to Wooster St.or my parent's house. The RH is for ribs, etc.not Italian food. BIG MISTAKE!!","[0.0, 1.0]"
"I'm a murderer. I am ashamed. I told myself I wasn't going to eat one but I did. I'm sorry Roo... Tried half a slider of the Kangaroo slider and it was super duper dry, even for medium rare or whatever it was. It's been a few weeks, I'm old so I forgot the level of doneness. Not my favorite but at least now I can say I ate a kangaroo and feel cool! The beef burger on the lot that I had...man, oh man. That thing was not only huge but juicy and flavorful! Sweet/tart with the pineapple along with the  oozy egg which tops it off.","[1.0, 0.0]"
"Stumbled upon this corner tavern and what a great place! Michael the bartender makes great drinks, and everything from kitchen is fresh and made from scratch. We had the ckn pot pie which was insane. Took me right back to a pub in liverpool called flanigans. Also had a deep fried sour pickle blt with slaw. Lucky find, glad we stopped.","[0.0, 1.0]"
"I love this place and the old school vibe it has. The same gentlemen have been working this place since I can remember and they are always really polite and welcoming. They have an awesome cuban sandwich, which is what I end up getting for the most part. I've also had the Ropa Vieja and it is delish! I definitely think it's worth a try.","[1.0, 0.0]"
"I was very excited to finally try this place, since I heard so much about it. I gotta say, i was a bit disappointed, the best pizza in new York? I can't imagine! It was an ok pizza, but I've had much better! Nothing like a real nice pizza from Italy! The staff was very nice and service was great though and it didn't take long for the food to be delivered","[0.0, 1.0]"
"The best food from a cart in the city from what I've tried, and an incredible value for the amount of food you get for the money.  Worth the long wait you will probably have.  However, eating a full plate of this food will not make you feel great, and your morning might not be great afterwards.  But, hell, it's worth it.","[1.0, 0.0]"
"The fresh fish is somewhat overpriced (though high quality), but the prepared food is awesome. Just had lunch here for the first time.  Outstandingly good! I got a blackened Marlin sandwich with fries and a coke, all for $11.  Slightly more than Hoagie Haven, Panera, etc. but the quality is way better.  The roll was even very good, a soft Kaiser roll (but not too soft).  Great whole lettuce and red ripe tomatoes as well.  Much better than the shredded iceberg crap and whitish tomatoes you get at hoagie haven. The fish was just perfect, nice and juicy but slightly crispy on the outside.  Fresh too so without a strong fishy taste.  I often don't like blackened fish as it can be too salty, but this had just the right amount of spice.  Also a nice thick piece of fish.  The fries were perfectly done too.  Can't go wrong here!","[0.0, 1.0]"
"Went here on a Friday night for dinner with another couple, and loved our experience. The restaurant is such a cool concept, that I don't know why nobody ever thought of it before. A BYOB with a state store inside? Perfection! They even sell gourmet cheeses and olive oils in the market, so you can wander around and taste items while you're waiting for your table. The food is pretty darn delicious. Hubs and I shared the chef's selection cheese platter, and it was to die for. My entree (duck confit salad) was pretty good, but not melt in your mouth amazing. Overall, we'd definately come back, if nothing else just for the cheese sampler and to split a pizza.","[1.0, 0.0]"
"March 5 11am dim sum with Julia and her colgate friends ($25) 12:30pm walked from dimsum in Chinatown to furniture shopping in Soho 1:00pm each had wine tasting at Vintage NY wine store; 5 small glasses each followed by 3 small glasses each from Wolffer estates ($10) 2:00pm walked to de Marco's pizza and shared a small pizza and 1 glass of wine ($20) 3:00pm walked to Lupa and had 1 glass wine each and Julia had salad and cheese plate; Curtis had prosciutto croquettes and steak involtino ($80) 4:30pm taxied over to Bar Veloce in the east village and had 1 glass of wine each ($20) 6:00pm walked over to Sing Sing karaoke on St Marks place; brought in a six pack of coors light (Julia drank 2, Curtis topped off 4). Karaoked to the tunes of Lola, Gloria, RIO, etc.  We disputed the fact that we should have to pay a $10 supplemental fee to bring in our own beer when there was no soap in the bathroom. ($48) 7:30pm shared a French fries from Pommes Frites with Mexican ketchup and mango chili dipping sauces - met some cool Canadian software salesmen and shared a large can of Sapporo. ($7) 9:30pm wandered into the nextdoor watering hole, The Thirsty Scholar, not because we were thirsty but because we both needed to use the washroom as pommes frites was not equipped. I smuggled the rest of the Sapporro can in, by sliding it into my coat pocket. Alone in the bathroom, the Sapporo can tested positive for indestructibility after several attempts to stamp it down with my foot - the Canadians had told me of this fact. We decided to have a pint at the Scholar - Julia a harp and a Bud Light for the gentleman ($10) 10:30pm walked over to Momofuku noodle bar and shared a large bowl of Pork Ramen, seared pork potstickers and Julia had a sake and Curtis a Stella Artois. ($35) 11:30pm topped the night off with Pignoli cookies and mini cannoloni, blissfully very much aware that we had been undercharged for the goods ($1.25)     Julia   Curtis Total drinks consumed 9   11 Drinks/hour   .75   .91 Total money spent   $256.25 Money / per hour / per person  $ 10.67 Fun had    lots","[1.0, 0.0]"
This is our goto take out place. The mongolian beef and sweet and sour chicken is wonderful. Also the Kung Pao Chicken is super. Its a perfect takeout place when you dont want to cook.,"[0.0, 1.0]"
"The food here taste so good late at night when your tired and drunk from a long night of partying.  However, when your not drunk and come here during the day time, you realize that the food is pretty average.  There are definitely better places around to get good roast pork or duck.  Come here only if its past 2am because its the only place youll find open at that time.","[0.0, 1.0]"
"Use to love this place but recently it has gone downhill.. Two friends and I went last night (7-13-13) and the wait wasn't a problem jus about 15 min. But when we got seated outside we sat down and it took about 20 min for someone to come over to our table and asked what we wanted for drinks.. So we ordered a blood orange margarita frozen pitcher than ordered our food... In the meantime they are supposed to bring chips and salsa to your table, yea right we didn't get anything so about 20 min later our pitcher finally came.. Still No chips.. Finally our food came out about 45 min later (we only ordered 2 little things) and it took so long.. Once they brought our food I said can we have chip and she said oh they didn't being them out.. After and hour went by.. She said someone will be right out with them.. (Yea right) we were pissed at this point... We ate our food had our drinks than asked for the check which took another 20 min to get an it wasn't even packer there.. We had to hunt the lady down to get it because she really came to our table to begin with I think 2 times that's it... Anyways I just wanted to say I definitely don't recommend this plaw at all!!! Maybe 3 years ago but not anymore..     Poor service, horrible food that looked like road kill, and very high on prices!!      Pitcher of Blood Orange Margarita $23.. $2.00 for being frozen $7.00 for being blood orange.. Unbelievable.. $32 for a pitcher.. Crazy     Ill go to adobe next time I herd they are cheaper and better! It's right down the street.      Oh and one more thing... We left the lady a $1.00 tip.. Wanted to leave nothing but I think a $1.00 was enough for the two times she came to our table!!","[0.0, 1.0]"
"Get 2 Rippers,  a Bowl of Chilli and a Beer. I love the place.","[0.0, 1.0]"
"Good stuff: I ate here with a party of 6.  We stayed late and felt no pressure to leave.  The servers were friendly and attentive.  The food here was good and the menu ok price-wise.  (I was surprised at the ample avocado salad portion.) My rib eye steak was tasty but I ordered rare and got medium well.  The air is slightly smoky adding to the grill atmosphere. Bad stuff: We got double tipped.  The tip was already added to the bill when presented and the server didn't mention it.  We tipped on top of the already fully loaded bill.  Shame on us but shame on them too.  It's a BYO, and we split appetizers and skipped desserts, and our double tipped bill cost us $270 for six people!  I can't revisit a place that lacks scruples...","[0.0, 1.0]"
"Ok so I moved to Clifton a year ago  I drive this place all the time and never go the outside looks a little suspect,but don't let that fool ya! This could be the best freshest sub I have ever had Excellent. (Try the fries)  the guys inside are very friendly so don't judge a book by it's cover!","[0.0, 1.0]"
"This review is for their garlic knots only. Francoluigi's does not offer or provide marinara with the garlic knots but it turned out Francoluigi's knots were good enough without the sauce. While the knots only had a mellow, not overpowering scent, the visual appeal was present.  The bread was cooked nicely with the top a dark golden brown and the light sprinkling of parsley was a nice touch. Size-wise, they were bigger than Mario and Frank's (in Bordentown, NJ; my personal favorite).  This would prove to be the only real ""flaw"" and that term is being used loosely.  The knots' texture was excellent; crispy on the outside and soft on the inside while the taste was full of garlick-y goodness! Francoluigi's proves to be a decent contender in the search of the perfect garlic knot.","[1.0, 0.0]"
"To me it is best place to try real American burger and Steak! You will be melting while eating.. It is a promise! I  just dont like the way they help you in the entrance. The receptionist says they put you on a waiting list but They dont even take your phone number. You either come back after 1,5 - 2hrs later or wait ourside or hang out at the bar area. And you have to ask and remind that person several times that you are waiting for the t - it seems tt need more efficient system.. So what I recommend especially when they are packed on Fridays and Saturdays just skip this guy in the front and hang out at the bar, as soon as you have a bar chair order your food-otehrwise you will wait 2 hrs maybe more to be able to order!","[0.0, 1.0]"
"We got a couple large subs (one ham and cheese, one eggplant) for a party. They were ready on time, tasted good and didn't cost an arm and a leg. I'm sure we'll order food from them again in the future.","[1.0, 0.0]"
"What the H*** is an arepa? was my first question when I first spotted this truck. After looking at the reviews here, I got the general idea, plus was very intrigued with the description, as well as the almost universal praise (which, honestly, triggered my skepticism a little... what can I say, except I'm a New Englander :) So, with friend in tow, I descended on this truck at the opposite end of Cedar St from where I usually go, and threw caution to the wind and ordered a pork arepa. Faith rewarded! Everything was great, as was the price. My friend even said he had to look up the recipe and see if he could recreate this newly found culinary wonder. Bottom line, very happy with my choice, and would go again. Highly recommended.","[1.0, 0.0]"
"At last, my love has come along. Days of mediocre Italian food are over. Dante and Luigi can do no wrong. Ahem- sorry- was I singing? My bad. First of all, I'm pretty sure my grandmother is working in their kitchen. Never in my life have I had Escarole soup (AKA Italian Wedding Soup for you non-Italians) SO insanely identical in taste to my grandmother's I had to have a chat with her about it. She just laughed at me when I confronted her which leads me to believe she has a side job at 87 years young. Everything was just absolutely delicious. I highly recommend this place if you enjoy real authentic Italian food.","[1.0, 0.0]"
Best falafel in the city!,"[0.0, 1.0]"
"This pizza was exactly perfect , thin crust and  fresh ingredients I will recommend any one to come you will not regret it 4 stars!
190120	3136	2014-08-12	love woodfired pizza not a fan of the crowds
142223	3136	2014-08-11	Long wait, but worth every minute,
217978	3136	2014-08-02	Service: Came in to enjoy a meal with a friend. Ordered just a single pie with some toppings. Amazingly we were seated and eating within 10 minutes of entrance. Before the new restaurant, the line used to twist around the block, now its just a few feet next to the old place, which is also a pizzeria. No credit cards. ONLY CASH. $4.50 ATM FEE. No beer. Busy place, wrong orders can occur. Poor guest appreciation (old place had a brighter attitude), however, if compared to Totonno's, well then G's got best customer service. The servers are very respectful and attentive. Food: The food is good regardless of the customer service. This is why I am giving this place a 4 star rating. This place moves a lot of traffic so the circulation of fresh ingredients is accurate. Setting: Awesome romantic setting, while you sitting next to almost 50 people.   Old Rating: One of the coolest and tastiest joints in Brooklyn. Limited seating but its worth the wait. A great place for a first date. I bake pizza and can vouch for their sauce and dough. Sometimes the pizza is slightly burnt but you can always ask to make sure that its not. Service is busy but precise. ""","[0.0, 1.0]"
"This is a great place that I think not enough people, especially students, know about yet. The hot food is better than most any 'chinese' takeout place around here, plus they also have a Deli that will sell you fresh meats & cheeses, sandwiches, salads, wraps, sushi, even fruit & vegetables. They also usually sell pre-made breakfast sandwiches, bagels, and coffee in the mornings. Whenever I see people buying crappy reheated food from 7-11 I want to tell them to go here. it's only like a block away and world's better in almost every way. The groceries, drinks, and candy selection has a lot going on in addition to the usual corner store fare. One of my favorite things is the front counter where they're always getting new little snacks to test out, and the selection is very unique, lots of imported candies and chocolates. Another thing worth mentioning is the guys who run it, two young Korean brothers who are also artists, are super friendly and accommodating. If you live on the west side of campus, or even if you don't, I highly recommend finding an excuse to go here. It's worth going out of your way for.","[1.0, 0.0]"
"Enjoyed the atmosphere, the service, food, and drink. Nice beer selection and interesting gastropub options. Waitress was super friendly and provided the extra dash of pub charm.","[1.0, 0.0]"
"I used to be a big fan of this restaurant.  At one time, the food was heavenly, the ambiance sublime and the service impeccable.  Sadly, Steven Starr has ruined another gem with his kistchy, cookie-cutter management.  The food is no different from what you will find at any of his restaurants in Philly.  The waitstaff are vacant and the ""hostess"" would have seemed right at home with the cast from Jersey Shore.  It was nice to still go somewhere that felt special and decadent.  Last time we were there, we were seated next to a couple in cut-off shorts and flip-flops.  The high tandards have gone right out the window.  I really miss how special this once was.  It is truly a shame.","[0.0, 1.0]"
"My boyfriend and I went here for Valentine's day. The edamame was stale and clearly from a freezer bag. The sushi we ordered was satisfactory and presented nicely. After we paid we sat finishing our bottle of wine. To our dismay,  we were asked by the waitress to leave as there were other reservations. At that time there were three seats at the sushi bar, two open two tops and no one waiting. We felt that that this was extremely rude. Customer service is key and for this reason we will not be returning. Additionally, we will not be recommending this establishment to friends, family or coworkers. I suggest going to Fat Salmon! Excellent sushi, service and atmosphere.","[1.0, 0.0]"
"My mother is Japanese.  She was a chef at the old Rising Sun restaurant in the Hartford Civic Center. Some friends of the family have many years experience in managing and working in Japanese restaurants.   I know a thing or two about what makes a Japanese restaurant good.  I grew up eating this food.  ....my credentials. Murasaki offers the VERY BEST food.  Number one in what I look for when I eat raw food! The restaurant offers a very simple surrounding that actually fairly reflects traditional japanese restaurants.  It feels right.  No doubt one or two tables feel cramped, but for the most part this not a problem.  I'd say if this is a problem for you, then ask or wait for other seating or go elsewhere.  I've been in a group of six and sat comfortably. Look, I've been to pretty much all of these restaurants, some are flashy with a metro feel, some are fun with hibachi food thrown at you, some are not so fresh and therefore, questionably dangerous.  Murasaki is what is right in Japanese restaurants.  I still try a new restaurant when they pop-up, but this is the one all of my family will always return to.","[0.0, 1.0]"
"Metro North has potential, but it's definitely in need of some sophistication.   Let's start with the bar - there are only a handful of beers on tap and those beers read as such: Miller Lite, Coors Light, Bud Light.  To me, why have a tap, just start crackin' open some cans, what's the difference?  Also, the wine by the glass selection is really awful - just really cheap wine with not so cheap price tags. Next, the service was horrific. Our server was either very inexperienced or just very unprofessional.  I know you guys are wearing jeans, but don't act like we're at Crapplebees. Also, it took quite long to get our meal.  About 15 minutes before it arrived,  our server apologized for the wait and said it would be right out.  Then we didn't see him again until he delivered the check.  A food runner eventually delivered our entrees.  My entree didn't come out correctly, but unfortunately there was no one to tell so I had to flag down another server for assistance. Positives: the decor is tastefully done and creates a degree of ambiance. The restaurant is dimly lit and noise is not an issue which creates an atmopshere for a romantic dinner or plenty of conversation among friends. Food prices are very reasonable.","[1.0, 0.0]"
"I really want to re-emphasive how great L'artusi really is. If I could give 6 stars, I would give it to this restaurant. I came for the first time in over a year, and my server from the past, Luke, actually remembered my friend and me as well as what we ordered. Though he wasn't my main waiter this time, I still had a phenomenal time and I really enjoyed every portion of our meal. I wasn't able to sit in the front of the kitchen this time, though I did have a peripheral view from the bar. Although I got a few of the same things this time...what was different was just as good as the old. As I mentioned before, the service here is casual, friendly and fantastic. I was again given free food(free spinach ravioli and sea salt gelato dessert) and boy were they good. -I had the scallop crudo (just as well done as I remember it) -Ricotta Cheese(housemade, last time I tried to order it, but they had ran out)...It was phenomenal...felt like eating dessert more than anything. The cheese was delicate and the blood orange marmalade it came with was a perfect complement as it was both sweet and slightly bitter. The theme of this restaurant is really how simplicity is perfect. They never use too many ingredients...but they are able to bring the best out of food. -Gnocchi with Lamb Ragu: It's evolved into something even better, as while the gnocchi were still perfect balls that melt in your mouth, the extra lamb ragu acts as a richer and more flavorful complement than a plain tomato sauce. -Spinach Ravioli- Al Dente and well made, I preferred the cheese ravioli, but this was still fantastic. -octopus with charred potatoes and a few other complements- simply the best octopus I've ever had. Though its more of an appetizer than an entree...it's still fantastic. The Octopus is crisp on the outside but firm on the inside. It's perfectly cooked and the potatoes, olives, and lemon that came with it acted perfectly to bring out the most of the octopus. The desserts were fantastic. The sea salt gelato we got was Luke's favorite dessert and I could immediately tell why. The gelato was not ""flavorless"" but it was very subtle with a hint of salt that made you really want more. It was truly addictive yet still light. Finally I had the lemon semifreddo. The semifreddo is a unique take on ice cream that makes it more of a solid that resembles a cake in appearance, though still retaining the taste of ice cream. The Limoncello granita was the star of the show though. Invoking memories of a hot italian summer, granita(think of flavored ice that's slightly slushie) is best enjoyed out during a hot day on the Amalfi Coast, however, I loved how they incorporated one of my favorite alcoholic beverages(limoncello) with an upscale dessert. A work of simple beauty.","[1.0, 0.0]"
"Sketchy neighborhood but what do I know as a tourist.  The food was absolutely fabulous and they give so much MEAT!!  One sandwich fed three of us.  Get the Paesano it was great but you have to eat it right away.  Wanted to try more but our stomach wouldn't let us.  Don't go for the tourist ""Philly cheesesteak"" places as they don't compare to this place.  Been to both locations and the other one in the Italian Market is safer and looks cleaner but both produce good sandwiches.","[1.0, 0.0]"
"I dined at Laurel some time ago (in April), so I won't go into the details of the meal. All I'd like to say is that my dinner there - with 3 other guests and each of us ordering 3-4 dishes and a dessert - was the best meal I've had in Philly in a very long time. It rivaled the meals I've had at my favorite, non-BYO, French restaurant who shall not be named...and all for under $80 per person. I will go back as soon as I can plan months ahead and get a reservation. If you are lucky enough to have the chance to dine at Laurel do not pass it up. You will not be disappointed.","[1.0, 0.0]"
"I've eaten here like 4 or 5 times at various parts of the day & night; I've sat both in and outside in the back garden area.  Every time I go there, the food is amazing!  I could eat arepas at least every other day from there: they're that good!  They have a decent lunch special & their pitchers of mojitos and margaritas are very fresh and delicious.  If you haven't tried it, I highly recommend it.  Also, the service has always been great.  They will give you recommendations if you ask & are always friendly.","[1.0, 0.0]"
"I recently organized a networking event at Halvorson's (which I booked only a few days before), and while I didn't partake in the cuisine (too busy drinking), I must say the staff at Halvorson's were some of the most pleasant restaurant staff that I've encountered anywhere in long time. The wait staff were extremely nice and accommodating, the bartender was polite, and they even waived the facility fee for us, as they were grateful for the added business. All in all, the networking event went seamlessly, and the night was a complete success. Thanks, guys!","[1.0, 0.0]"
"Do not leave Burlington without stopping here...that is an order, my friend!  As a vegan, I LOVE when a pizza joint doesn't treat me like a freak when I ask for no cheese on my pizza.  The staff at American Flatbread are incredibly informed and accommodating.  Oh wait, did I mention the Zero Gravity beer.  A-M-A-Z-I-N-G. If the Gruit is on tap, you must try it.  One helpful tip - don't waste your money on the sampler beers, just ask for a taste of any beer before you decide on what to order :) Any brewpub will let you taste until you find what you're looking for.","[0.0, 1.0]"
"We have been here twice and the service is great- Lucy is wonderful, the food is generously portioned, cheap, and very tasty, and it has a typical diner atmosphere. It's a great location, and they have awesome specials. This is a must on the list of NJ diners! Move over, Tick Tock, Park West is coming for you!","[0.0, 1.0]"
"I love this place. It has a cozy, homey vibe and always an interesting menu. My boyfriend and I were excited to find that they serve chicken livers, which are delicious. I also thoroughly enjoyed the butternut squash soup. It's a great spot for dates or business dinners and is perfect for those who want to try something new or for those who simply enjoy American cooking.","[1.0, 0.0]"
it speaks for it self wowwwwwww,"[0.0, 1.0]"
This place is being run by racist scum... Two African Americans on line ahead of me were asked if they were on the guest list and denied admittance by the doorman. I was not on any guest list and my party got in fine. Food overrated... Drinks overpriced... If you don't know fine dining you will enjoy yourself.,"[0.0, 1.0]"
"Green Eggs Cafe has always been one of my favorite breakfast spots on this Earth!  Today it has became the holy grail for lunch.  My husband and mother-in-law went there for lunch today and what he got was so fantastic that my mother-in-law bought it for me as well and they drove all the way to where I work to deliver it to me.  What they brought to me was  the The Lambwich!! It doesn't sound like much, but it is a life changing work of art.  This sandwich includes: braised lamb shouulder, vadouvan raisin jam, harissa aioli, arugula, shredded carrots, red onions, served on toasted ciabatta bread.  My mind has been blown, from this day on I will never be fully satisfied with any other sandwich, not to mention their jalapeno bacon mac and cheese was utterly amazing.  This perfect lunch is pretty much as good as it gets!","[0.0, 1.0]"
"I took my girlfriend here as a distraction. Her best friend coming into town without my gf having any knowledge. Her bf's flight was late and so I reserved a table to take her out to kind of distract her as to what the surprise was. Great ambience, good service, good food, but a little overpriced. I think besides the value for what you pay, which knocks off a star, it's definitely a good dining experience.","[1.0, 0.0]"
"Very good place to eat. After awhile it may get slightly old, but the chips and salsa are good. The drinks are very nice, and the food is excellently priced, especially for the quality. I would recommend eating here, atmosphere is great with the lit up Christmas lights inside.","[1.0, 0.0]"
"Personally, the food is not that great. Now when i go there i only order the bbq fries and some wings. Also, I find the bruncht menu pricey, considering the portion size. The staff there is very friendly however the service is very slow.","[0.0, 1.0]"
"Ordered delivery and it was terrible.  Food was cold, not accurate to description and I was given a generic cola (we paid $3.50 to add fries and a soda).  Very disappointing.","[0.0, 1.0]"
"this is absolutely the worst place, I couldnt remember why havent been to this place in 6-7 years then it all came to me, managment is horrible, served my steak cold, got no apology, manager never came to our table & looked miserable. would never go back to this sh*t hole again...","[0.0, 1.0]"
"Great bourbon selection. Bourbon novice? Just ask the bartender -- they are very knowledgeable!   My amazing wife brought me to Char No. 4 for Valentine's Day. Pairing 3 courses with bourbon was awesome. The decor is very warm, upscale but (new) Brooklyn relaxed.","[0.0, 1.0]"
"Excellent food, great chill tofu.","[1.0, 0.0]"
"i went to the Tandoori bite Indian Cuisine yesterday...i think this is the best Indian Restaurant in Princeton, i m student here and i try all indian Restaurant...but tandoori Bite is the best and reasonable .and Lunch Buffet $9.99 it is a very good price. i tried the other indian restaurant in princeton , Tandoori Bite Wait staff is very friendly... I will definitely go back.","[0.0, 1.0]"
Wonderfully prepared and tasty dishes. Homemade pasta specials. Hannah our server was a delight and Giorgio was pleasant and visited the table to make sure everything was good. Will certainly visit Giogio's again...and soon!,"[0.0, 1.0]"
"Appallingly rude!  We went there for Sunday brunch.  Arrived at 10.30 and the sign painted on the door said they opened at 11.  We went for a walk around the neighborhood and returned about 5 to 11, by which time a line of about 10 people had formed outside the restaurant waiting to get in.  One of the waitstaff was pointedly mopping the area right inside the large front window, and kept looking at the window at all the people waiting outside.  FINALLY, at 11.15, after we'd been waiting in the freezing cold for 20 minutes, he decided to come outside and tell us they had decided not to open until 1pm that day.  Everyone was very angry and I don't think any of those people will ever return.  I don't care how good the food is, you cannot treat customers with such disdain!!! EPIC FAIL!","[0.0, 1.0]"
One of the best restaurants in and around Parsippany. I have been staying since 12 years here but the taste and feel of the food here is great. Even my six year old kid likes the food and enjoys going to this place.,"[0.0, 1.0]"
Super Cub Classic is where its at,"[0.0, 1.0]"
"I hate the long wait, but love Ippudo's service. I dined there last night with friends. One suffered from food allergies. Upon informing the host, both the host and server checked with the kitchen to make sure that my friend's meal would not contain ingredients that would trigger an allergic reaction. Thanks Ippudo for the wonderful experience.","[1.0, 0.0]"
I went there for the first time this past weekend and LOVED it!!!  I had never had Thai food before and I thought it was fantastic and the bartender was a character.  Prices were amazing and our apps AND dinner came out in record time!!! Next time I go to Brooklyn I'll definitely go back!!!!,"[0.0, 1.0]"
"so disgusting, the cake was awful, my vomit looks better than the decor. Get a new owner or shut this dirtbag place down","[0.0, 1.0]"
"Rudy and his staff continue to be the best.  I just got back from Miami and all I said was ""I don't miss the Cuban food any more because El Rincon Criollo is so authentic it's like eating at your Moms or Abuelas house"". I'm on my way today ;-)","[1.0, 0.0]"
